Prompt Group,Metric,Value,Position (if applicable)
Prompt 1,STD,0.0,
Prompt 1,Max Value,0.0,1
Prompt 1,Min Value,0.0,1

Prompt 2,STD,0.0,
Prompt 2,Max Value,1.0,1
Prompt 2,Min Value,1.0,1

Prompt 3,STD,0.0,
Prompt 3,Max Value,0.0,1
Prompt 3,Min Value,0.0,1

Prompt 4,STD,0.0,
Prompt 4,Max Value,0.0,1
Prompt 4,Min Value,0.0,1

Prompt 5,STD,0.0,
Prompt 5,Max Value,1.0,1
Prompt 5,Min Value,1.0,1

Prompt 6,STD,0.0,
Prompt 6,Max Value,0.0,1
Prompt 6,Min Value,0.0,1

Prompt 7,STD,0.0,
Prompt 7,Max Value,1.0,1
Prompt 7,Min Value,1.0,1

Prompt 8,STD,0.0,
Prompt 8,Max Value,0.0,1
Prompt 8,Min Value,0.0,1

Prompt 9,STD,0.1593,
Prompt 9,Max Value,0.5,11
Prompt 9,Min Value,0.0,1

Prompt 10,STD,0.0,
Prompt 10,Max Value,0.0,1
Prompt 10,Min Value,0.0,1

Summary
Top 3 Max Positions
Position 1,9 times
Position 11,1 times

Top 3 Min Positions
Position 1,10 times

Top 3 STD Groups
Prompt 9,STD,0.1593
Prompt 1,STD,0.0
Prompt 2,STD,0.0
