Group,Prompt ID,Average Word Count
Group 1,,
Group 1,Prompt 1,953
Group 1,Prompt 2,981
Group 1,Prompt 3,925
Group 1,Prompt 4,942
Group 1,Prompt 5,990
Group 1,Prompt 6,1042
Group 1,Prompt 7,927
Group 1,Prompt 8,1018
Group 1,Prompt 9,770
Group 1,Prompt 10,673
Group 1,Prompt 11,918
Group 1,Prompt 12,1144
Group 1,Prompt 13,934
Group 1,Prompt 14,51
Group 1,Prompt 15,1262
Group 1,Prompt 16,1168
Group 2,,
Group 2,Prompt 17,336
Group 2,Prompt 18,361
Group 2,Prompt 19,403
Group 2,Prompt 20,331
Group 2,Prompt 21,363
Group 2,Prompt 22,534
Group 2,Prompt 23,343
Group 2,Prompt 24,296
Group 2,Prompt 25,349
Group 2,Prompt 26,425
Group 2,Prompt 27,286
Group 2,Prompt 28,476
Group 2,Prompt 29,398
Group 2,Prompt 30,488
Group 2,Prompt 31,572
Group 2,Prompt 32,565
Group 3,,
Group 3,Prompt 33,832
Group 3,Prompt 34,863
Group 3,Prompt 35,809
Group 3,Prompt 36,744
Group 3,Prompt 37,780
Group 3,Prompt 38,911
Group 3,Prompt 39,796
Group 3,Prompt 40,972
Group 3,Prompt 41,528
Group 3,Prompt 42,774
Group 3,Prompt 43,961
Group 3,Prompt 44,873
Group 3,Prompt 45,814
Group 3,Prompt 46,881
Group 3,Prompt 47,994
Group 3,Prompt 48,981
Group 4,,
Group 4,Prompt 49,659
Group 4,Prompt 50,878
Group 4,Prompt 51,765
Group 4,Prompt 52,611
Group 4,Prompt 53,674
Group 4,Prompt 54,872
Group 4,Prompt 55,736
Group 4,Prompt 56,1066
Group 4,Prompt 57,438
Group 4,Prompt 58,672
Group 4,Prompt 59,1089
Group 4,Prompt 60,839
Group 4,Prompt 61,792
Group 4,Prompt 62,831
Group 4,Prompt 63,955
Group 4,Prompt 64,922
Group 5,,
Group 5,Prompt 65,522
Group 5,Prompt 66,587
Group 5,Prompt 67,492
Group 5,Prompt 68,490
Group 5,Prompt 69,532
Group 5,Prompt 70,691
Group 5,Prompt 71,439
Group 5,Prompt 72,411
Group 5,Prompt 73,372
Group 5,Prompt 74,531
Group 5,Prompt 75,435
Group 5,Prompt 76,633
Group 5,Prompt 77,605
Group 5,Prompt 78,46
Group 5,Prompt 79,746
Group 5,Prompt 80,760
Group 6,,
Group 6,Prompt 81,417
Group 6,Prompt 82,523
Group 6,Prompt 83,557
Group 6,Prompt 84,282
Group 6,Prompt 85,513
Group 6,Prompt 86,691
Group 6,Prompt 87,504
Group 6,Prompt 88,552
Group 6,Prompt 89,381
Group 6,Prompt 90,367
Group 6,Prompt 91,498
Group 6,Prompt 92,720
Group 6,Prompt 93,772
Group 6,Prompt 94,796
Group 6,Prompt 95,742
Group 6,Prompt 96,849
Group 7,,
Group 7,Prompt 97,324
Group 7,Prompt 98,455
Group 7,Prompt 99,425
Group 7,Prompt 100,302
Group 7,Prompt 101,425
Group 7,Prompt 102,517
Group 7,Prompt 103,395
Group 7,Prompt 104,355
Group 7,Prompt 105,280
Group 7,Prompt 106,312
Group 7,Prompt 107,321
Group 7,Prompt 108,465
Group 7,Prompt 109,452
Group 7,Prompt 110,509
Group 7,Prompt 111,545
Group 7,Prompt 112,486
Group 8,,
Group 8,Prompt 113,477
Group 8,Prompt 114,576
Group 8,Prompt 115,649
Group 8,Prompt 116,332
Group 8,Prompt 117,619
Group 8,Prompt 118,700
Group 8,Prompt 119,624
Group 8,Prompt 120,418
Group 8,Prompt 121,456
Group 8,Prompt 122,423
Group 8,Prompt 123,611
Group 8,Prompt 124,643
Group 8,Prompt 125,758
Group 8,Prompt 126,642
Group 8,Prompt 127,806
Group 8,Prompt 128,786
Group 9,,
Group 9,Prompt 129,651
Group 9,Prompt 130,686
Group 9,Prompt 131,732
Group 9,Prompt 132,530
Group 9,Prompt 133,722
Group 9,Prompt 134,873
Group 9,Prompt 135,756
Group 9,Prompt 136,758
Group 9,Prompt 137,406
Group 9,Prompt 138,610
Group 9,Prompt 139,891
Group 9,Prompt 140,840
Group 9,Prompt 141,775
Group 9,Prompt 142,614
Group 9,Prompt 143,870
Group 9,Prompt 144,850
Group 10,,
Group 10,Prompt 145,531
Group 10,Prompt 146,515
Group 10,Prompt 147,508
Group 10,Prompt 148,448
Group 10,Prompt 149,557
Group 10,Prompt 150,636
Group 10,Prompt 151,544
Group 10,Prompt 152,644
Group 10,Prompt 153,423
Group 10,Prompt 154,452
Group 10,Prompt 155,726
Group 10,Prompt 156,572
Group 10,Prompt 157,742
Group 10,Prompt 158,603
Group 10,Prompt 159,844
Group 10,Prompt 160,590
